number,title,layer,prerequisite,file,line
3.3,接口与数据流,混合,False,output/chapters/chapter03.tex,630
3.3.1,构件级设计,指导实践,,output/chapters/chapter03.tex,636
3.3.2,构件协作与接口设计,核心,,output/chapters/chapter03.tex,670
3.4,模块化与依赖,混合,False,output/chapters/chapter03.tex,707
3.4.1,模块化与关注点分离原则,核心,,output/chapters/chapter03.tex,715
3.4.2,抽象与信息隐藏原则,核心,,output/chapters/chapter03.tex,789
3.4.3,功能独立性与复用性原则,核心,,output/chapters/chapter03.tex,929
3.4.4,案例分析：水利工程安全监测平台的监测接入模块,指导实践,,output/chapters/chapter03.tex,984
3.5,架构选择,混合,False,output/chapters/chapter03.tex,1000
3.5.1,架构风格与模式的选择,核心,,output/chapters/chapter03.tex,1006
3.5.2,单体、模块化单体与微服务：用案例水库的数字做一次决策,核心,,output/chapters/chapter03.tex,1014
3.5.3,微服务（Microservices）,拓展,,output/chapters/chapter03.tex,1026
3.5.4,事件驱动（Event-Driven）,拓展,,output/chapters/chapter03.tex,1072
3.5.5,Web 形态的特殊考虑,拓展,,output/chapters/chapter03.tex,1090
3.6,架构评审,混合,False,output/chapters/chapter03.tex,1096
3.6.1,架构决策记录（ADR）,指导实践,,output/chapters/chapter03.tex,1102
3.6.2,把设计交给评审：一次架构评审会的组织,指导实践,,output/chapters/chapter03.tex,1112
3.6.3,课堂演练：一次90分钟的迷你ATAM,指导实践,,output/chapters/chapter03.tex,1118
3.6.4,评估方法,拓展,,output/chapters/chapter03.tex,1130
3.6.5,复杂度与风险分析,拓展,,output/chapters/chapter03.tex,1183
4.1,Web基础概念与浏览器架构,核心,False,output/chapters/chapter04.tex,22
4.2,HTML基础与语义化,混合,False,output/chapters/chapter04.tex,59
4.2.1,文档流、渲染流程与页面地标,核心,,output/chapters/chapter04.tex,92
4.3,CSS样式与响应式布局,混合,False,output/chapters/chapter04.tex,255
4.3.1,盒模型与尺寸计算,核心,,output/chapters/chapter04.tex,284
4.3.2,单位体系与可伸缩界面,核心,,output/chapters/chapter04.tex,374
4.3.3,定位、层叠上下文与覆盖关系,拓展,,output/chapters/chapter04.tex,402
4.3.4,Flexbox：一维的告警工具栏,指导实践,,output/chapters/chapter04.tex,439
4.3.5,Grid：二维的监测仪表盘,指导实践,,output/chapters/chapter04.tex,499
4.3.6,响应式断点与大屏适配,指导实践,,output/chapters/chapter04.tex,583
4.3.7,CSS 变量与暗色主题,拓展,,output/chapters/chapter04.tex,637
4.3.8,Flex布局的故障定位与可访问性验收,指导实践,,output/chapters/chapter04.tex,683
4.4,JavaScript基础编程,混合,False,output/chapters/chapter04.tex,753
4.4.1,类型、相等性与可预测数据,核心,,output/chapters/chapter04.tex,789
4.4.2,函数、闭包与数组高阶方法,核心,,output/chapters/chapter04.tex,813
4.4.3,解构、展开与 ES 模块,核心,,output/chapters/chapter04.tex,845
4.4.4,DOM 查询、增删改与安全写入,核心,,output/chapters/chapter04.tex,870
4.4.5,事件对象、捕获与冒泡,核心,,output/chapters/chapter04.tex,895
4.4.6,事件委托与长列表,指导实践,,output/chapters/chapter04.tex,918
4.4.7,异常处理,核心,,output/chapters/chapter04.tex,981
4.4.8,收束练习：一个最小的输入校验页面,核心,,output/chapters/chapter04.tex,1005
4.5,数据请求与页面状态,核心,True,output/chapters/chapter04.tex,1037
4.5.1,原理：一次请求从发出到页面更新,核心,,output/chapters/chapter04.tex,1045
4.5.2,完整例子：读取对象列表与最新观测,核心,,output/chapters/chapter04.tex,1104
4.5.3,页面的四种状态：加载、空数据、错误与过期,核心,,output/chapters/chapter04.tex,1176
4.5.4,故障单元：切换测点时旧数据覆盖新数据,核心,,output/chapters/chapter04.tex,1230
4.5.5,request.js：JWT、401 与超时的统一入口,指导实践,,output/chapters/chapter04.tex,1320
4.5.6,Vite 代理与环境变量,指导实践,,output/chapters/chapter04.tex,1377
4.5.7,登录到受保护接口的前后端联调闭环,指导实践,,output/chapters/chapter04.tex,1410
4.5.8,拓展：认证契约测试与故障复盘,核心,,output/chapters/chapter04.tex,1504
4.5.9,拓展：事件循环与任务调度,核心,,output/chapters/chapter04.tex,1560
4.5.10,自测与下一步,核心,,output/chapters/chapter04.tex,1578
4.6,Vue 3组件化开发,混合,False,output/chapters/chapter04.tex,1588
4.6.1,Vue 3.4 组合式 API 与响应式状态,核心,,output/chapters/chapter04.tex,1645
4.6.2,模板指令与组件通信,核心,,output/chapters/chapter04.tex,1673
4.6.3,生命周期与资源清理,指导实践,,output/chapters/chapter04.tex,1732
4.6.4,测站列表筛选页：从 SFC 到组件拆分,指导实践,,output/chapters/chapter04.tex,1781
4.7,Vue Router与Pinia应用组织,混合,False,output/chapters/chapter04.tex,1911
4.7.1,根组件、路由表与登录守卫,指导实践,,output/chapters/chapter04.tex,1919
4.7.2,AssetDetail 的动态参数与数据加载,指导实践,,output/chapters/chapter04.tex,2100
4.7.3,路由参数、查询状态与可恢复导航,指导实践,,output/chapters/chapter04.tex,2162
4.7.4,Pinia 状态建模、错误恢复与持久化边界,指导实践,,output/chapters/chapter04.tex,2172
4.8,调试、构建与阶段验收,混合,False,output/chapters/chapter04.tex,2195
4.8.1,阶段验收：S1 与 S2 的检查单,核心,,output/chapters/chapter04.tex,2200
4.8.2,模块化开发与调试技巧,指导实践,,output/chapters/chapter04.tex,2222
4.8.3,Vite 工程化与性能优化,拓展,,output/chapters/chapter04.tex,2239
5.1,后端服务与REST接口概述,核心,False,output/chapters/chapter05.tex,23
5.2,第一个 HTTP 接口：从固定数据到契约,混合,True,output/chapters/chapter05.tex,185
5.2.1,返回固定数据的接口,核心,,output/chapters/chapter05.tex,194
5.2.2,路径参数、查询参数与错误体,核心,,output/chapters/chapter05.tex,244
5.2.3,用第4章的页面和故障表验证接口,核心,,output/chapters/chapter05.tex,296
5.3,Spring Boot企业级开发基础,混合,False,output/chapters/chapter05.tex,320
5.3.1,起步依赖与自动配置的边界,核心,,output/chapters/chapter05.tex,327
5.3.2,application.yml 与 Profile 多环境,指导实践,,output/chapters/chapter05.tex,365
5.3.3,依赖注入与 Bean 生命周期,核心,,output/chapters/chapter05.tex,405
5.3.4,自动配置诊断与启动契约,指导实践,,output/chapters/chapter05.tex,449
5.3.5,Bean 作用域、代理与资源释放,拓展,,output/chapters/chapter05.tex,473
5.3.6,工程骨架的测试切片,指导实践,,output/chapters/chapter05.tex,481
5.4,Jakarta Persistence与事务管理,混合,False,output/chapters/chapter05.tex,536
5.4.1,实体映射与Repository基础,核心,,output/chapters/chapter05.tex,541
5.4.2,关联关系与懒加载边界,指导实践,,output/chapters/chapter05.tex,630
5.4.3,N+1 查询与 fetch join,拓展,,output/chapters/chapter05.tex,680
5.4.4,派生查询、Pageable 与稳定分页,指导实践,,output/chapters/chapter05.tex,729
5.4.5,乐观锁与审计字段,指导实践,,output/chapters/chapter05.tex,766
5.4.6,索引设计与 PostgreSQL 迁移,指导实践,,output/chapters/chapter05.tex,812
5.4.7,查询测试、执行计划与观测,拓展,,output/chapters/chapter05.tex,846
5.4.8,统计服务中的数值稳定性,拓展,,output/chapters/chapter05.tex,869
5.4.9,事务边界与传播,核心,,output/chapters/chapter05.tex,875
5.4.10,事务的 ACID 契约与边界,核心,,output/chapters/chapter05.tex,926
5.4.11,七种传播行为与使用场景,拓展,,output/chapters/chapter05.tex,953
5.4.12,隔离级别与并发异常,拓展,,output/chapters/chapter05.tex,996
5.4.13,只读事务与事件发布闭环,指导实践,,output/chapters/chapter05.tex,1052
5.4.14,统计量更新,拓展,,output/chapters/chapter05.tex,1090
5.5,服务层与异常处理,混合,False,output/chapters/chapter05.tex,1118
5.5.1,读写接口的完整闭环,核心,,output/chapters/chapter05.tex,1155
5.5.2,统一错误响应与参数校验,指导实践,,output/chapters/chapter05.tex,1277
5.5.3,三层校验与错误定位,指导实践,,output/chapters/chapter05.tex,1329
5.5.4,HTTP 状态转换与事务语义,拓展,,output/chapters/chapter05.tex,1337
5.5.5,DTO 契约与单位转换,指导实践,,output/chapters/chapter05.tex,1345
5.5.6,测试矩阵与接口可观测性,拓展,,output/chapters/chapter05.tex,1351
5.6,Spring Security 6与JWT,混合,False,output/chapters/chapter05.tex,1366
5.6.1,威胁模型与认证边界,指导实践,,output/chapters/chapter05.tex,1766
5.6.2,密钥生命周期与配置管理,拓展,,output/chapters/chapter05.tex,1772
5.6.3,密码、账户与登录防护,指导实践,,output/chapters/chapter05.tex,1778
5.6.4,CSRF、CORS 与浏览器存储,拓展,,output/chapters/chapter05.tex,1784
5.6.5,权限建模与最小授权,指导实践,,output/chapters/chapter05.tex,1792
5.6.6,撤销、重放与故障降级,拓展,,output/chapters/chapter05.tex,1798
5.6.7,认证链路的可观测性与演练,拓展,,output/chapters/chapter05.tex,1804
5.6.8,令牌失效与会话迁移,拓展,,output/chapters/chapter05.tex,1812
5.7,事务事件与消息队列,混合,False,output/chapters/chapter05.tex,1830
5.7.1,为什么引入消息队列,核心,,output/chapters/chapter05.tex,1888
5.7.2,生产者、事件模式与发送确认,指导实践,,output/chapters/chapter05.tex,1920
5.7.3,消费者幂等与去重约束,指导实践,,output/chapters/chapter05.tex,1962
5.7.4,重试、退避与死信队列,指导实践,,output/chapters/chapter05.tex,2016
5.7.5,事务发件箱与可靠发布,指导实践,,output/chapters/chapter05.tex,2052
5.7.6,分区、顺序与消费者组,拓展,,output/chapters/chapter05.tex,2116
5.8,性能与可观测性：往哪里找,拓展,False,output/chapters/chapter05.tex,2130
5.9,测试策略与质量门禁,指导实践,False,output/chapters/chapter05.tex,2136
6.1,WebGL2与Three.js三维渲染基础,混合,False,output/chapters/chapter06.tex,22
6.1.1,从一个几何体开始：场景、相机、渲染器与循环,核心,,output/chapters/chapter06.tex,27
6.1.2,坐标变换与透视投影,核心,,output/chapters/chapter06.tex,98
6.1.3,WebGL2渲染管线,拓展,,output/chapters/chapter06.tex,116
6.1.4,Three.js场景组织与模型加载,核心,,output/chapters/chapter06.tex,302
6.1.5,把测点挂到坝体上：对象绑定与查找,核心,,output/chapters/chapter06.tex,322
6.2,GIS服务、坐标与二三维集成,混合,False,output/chapters/chapter06.tex,384
6.2.1,OGC地图与要素服务,指导实践,,output/chapters/chapter06.tex,389
6.2.2,CGCS2000与投影坐标,核心,,output/chapters/chapter06.tex,525
6.2.3,高程基准与空间一致性,核心,,output/chapters/chapter06.tex,609
6.2.4,Cesium场景集成,拓展,,output/chapters/chapter06.tex,731
6.3,倾斜摄影与BIM模型构建,混合,False,output/chapters/chapter06.tex,749
6.3.1,倾斜摄影数据生产,拓展,,output/chapters/chapter06.tex,754
6.3.2,BIM语义与IFC 4.3,拓展,,output/chapters/chapter06.tex,899
6.3.3,多源模型融合与发布,拓展,,output/chapters/chapter06.tex,938
6.4,数字孪生水利平台架构概览,混合,False,output/chapters/chapter06.tex,952
6.4.1,概念边界与五维组织,拓展,,output/chapters/chapter06.tex,957
6.4.2,分层技术架构,拓展,,output/chapters/chapter06.tex,1009
6.4.3,跨层契约与架构演进,拓展,,output/chapters/chapter06.tex,1036
6.4.4,业务场景与需求分解,拓展,,output/chapters/chapter06.tex,1064
6.4.5,数据底板与模型平台,拓展,,output/chapters/chapter06.tex,1089
6.4.6,模型卡与可信度管理,拓展,,output/chapters/chapter06.tex,1112
6.4.7,事件时间、状态估计与质量码,拓展,,output/chapters/chapter06.tex,1142
6.4.8,三维交互与决策证据链,拓展,,output/chapters/chapter06.tex,1174
6.4.9,实时同步与闭环控制,拓展,,output/chapters/chapter06.tex,1208
6.4.10,接口与事件契约,拓展,,output/chapters/chapter06.tex,1258
6.4.11,大坝安全监测场景,拓展,,output/chapters/chapter06.tex,1312
6.4.12,流域预报调度场景,拓展,,output/chapters/chapter06.tex,1335
6.4.13,云边协同与部署,拓展,,output/chapters/chapter06.tex,1362
6.4.14,安全、权限与失效降级,拓展,,output/chapters/chapter06.tex,1388
6.4.15,可观测性、数据血缘与运行值守,拓展,,output/chapters/chapter06.tex,1416
6.4.16,验证、验收与持续改进,拓展,,output/chapters/chapter06.tex,1472
6.4.17,课程项目实施路线,拓展,,output/chapters/chapter06.tex,1498
6.4.18,发展重点,拓展,,output/chapters/chapter06.tex,1524
7.1,面向可视化的数据准备,混合,False,output/chapters/chapter07.tex,25
7.1.1,从观测记录到视觉变量,核心,,output/chapters/chapter07.tex,29
7.1.2,时间窗口、降采样与缺测,核心,,output/chapters/chapter07.tex,74
7.1.3,实时流、历史回放与时间对齐,指导实践,,output/chapters/chapter07.tex,143
7.1.4,数据质量检验、缺测断线与异常处理,指导实践,,output/chapters/chapter07.tex,228
7.1.5,多源异构数据的标准化与融合,拓展,,output/chapters/chapter07.tex,291
7.1.6,案例的数据视图契约,核心,,output/chapters/chapter07.tex,337
7.2,图表与实时联动,混合,False,output/chapters/chapter07.tex,361
7.2.1,图表选型与视觉编码,核心,,output/chapters/chapter07.tex,365
7.2.2,可运行的实时曲线,指导实践,,output/chapters/chapter07.tex,467
7.2.3,渲染器、性能预算与生命周期,拓展,,output/chapters/chapter07.tex,563
7.2.4,图表与三维对象的双向联动,核心,,output/chapters/chapter07.tex,605
7.2.5,响应式与异常状态,核心,,output/chapters/chapter07.tex,711
7.2.6,专题地图的表达方式,拓展,,output/chapters/chapter07.tex,717
7.2.7,色彩体系与可读性,拓展,,output/chapters/chapter07.tex,794
7.3,三维场景中的监测点绘制,混合,False,output/chapters/chapter07.tex,928
7.3.1,坐标转换与局部原点,指导实践,,output/chapters/chapter07.tex,932
7.3.2,状态编码、LOD与聚合,拓展,,output/chapters/chapter07.tex,1016
7.3.3,状态变化与渲染更新,核心,,output/chapters/chapter07.tex,1064
7.4,监测点互动与拾取技术,混合,False,output/chapters/chapter07.tex,1070
7.4.1,射线拾取与安全的向量运算,核心,,output/chapters/chapter07.tex,1074
7.4.2,触控半径与世界单位,拓展,,output/chapters/chapter07.tex,1147
7.4.3,信息面板与渐进披露,核心,,output/chapters/chapter07.tex,1183
7.4.4,案例联调与验收,指导实践,,output/chapters/chapter07.tex,1189
8.1,需求分析与业务闭环,混合,False,output/chapters/chapter08.tex,43
8.1.1,案例边界与工程参数,核心,,output/chapters/chapter08.tex,47
8.1.2,角色、用例与权限边界,核心,,output/chapters/chapter08.tex,76
8.1.3,端到端业务闭环,核心,,output/chapters/chapter08.tex,147
8.2,总体架构与三维场景设计,混合,False,output/chapters/chapter08.tex,179
8.2.1,统一技术栈与分层架构,核心,,output/chapters/chapter08.tex,183
8.2.2,Three.js主线与Cesium扩展,拓展,,output/chapters/chapter08.tex,207
8.2.3,场景组织、材质与交互,指导实践,,output/chapters/chapter08.tex,228
8.3,数据模型、前端展示与后端处理,混合,False,output/chapters/chapter08.tex,358
8.3.1,数据模型与事件契约,核心,,output/chapters/chapter08.tex,362
8.3.2,关系模型、空间索引与时序分区,指导实践,,output/chapters/chapter08.tex,385
8.3.3,数据库迁移、查询与运行维护练习,指导实践,,output/chapters/chapter08.tex,675
8.3.4,从业务约束到物理设计的推导,拓展,,output/chapters/chapter08.tex,1006
8.3.5,Vue前端页面组织,指导实践,,output/chapters/chapter08.tex,1184
8.3.6,Spring Boot后端与数据质量,指导实践,,output/chapters/chapter08.tex,1486
8.3.7,监测主线后端实现,指导实践,,output/chapters/chapter08.tex,1641
8.3.8,存储、缓存与一致性,拓展,,output/chapters/chapter08.tex,2363
8.4,智能分析、预警与业务闭环,混合,False,output/chapters/chapter08.tex,2369
8.4.1,蓝黄橙红四级预警,核心,,output/chapters/chapter08.tex,2373
8.4.2,从预警到工单与复盘,指导实践,,output/chapters/chapter08.tex,2476
8.4.3,模型可信度与人在回路,拓展,,output/chapters/chapter08.tex,2502
8.5,数字孪生水利平台案例,混合,False,output/chapters/chapter08.tex,2560
8.5.1,案例来源、边界与建设目标,拓展,,output/chapters/chapter08.tex,2568
8.5.2,防台防洪预演的输入与输出,拓展,,output/chapters/chapter08.tex,2630
8.5.3,淹没影响、疏散路线与证据链,拓展,,output/chapters/chapter08.tex,2688
8.5.4,数字孪生水库矩阵与“四预”,拓展,,output/chapters/chapter08.tex,2746
8.5.5,闸门调度正算、反算与方案约束,拓展,,output/chapters/chapter08.tex,2812
8.5.6,预警方案预演与角色协同,拓展,,output/chapters/chapter08.tex,2878
8.5.7,AI助手驱动的调度会商,拓展,,output/chapters/chapter08.tex,2901
8.5.8,底板与算法解耦、权限与模拟标注,拓展,,output/chapters/chapter08.tex,2962
8.5.9,对象编码、时空基线与孪生状态,拓展,,output/chapters/chapter08.tex,2990
8.5.10,模型任务编排与运行生命周期,拓展,,output/chapters/chapter08.tex,3046
8.5.11,数字孪生水网的供需平衡与联合调度,拓展,,output/chapters/chapter08.tex,3086
8.5.12,场景版本、方案比较与不确定性表达,拓展,,output/chapters/chapter08.tex,3155
8.5.13,端到端实现切片与验收脚本,拓展,,output/chapters/chapter08.tex,3217
8.5.14,会商时间线、值守交接与复盘,拓展,,output/chapters/chapter08.tex,3335
8.5.15,失效降级、验收与课程实现,拓展,,output/chapters/chapter08.tex,3391
8.6,系统部署、运维与验收,混合,False,output/chapters/chapter08.tex,3440
8.6.1,部署架构与环境一致性,指导实践,,output/chapters/chapter08.tex,3444
8.6.2,可观测性、备份与恢复,指导实践,,output/chapters/chapter08.tex,3586
8.6.3,阶段验收,指导实践,,output/chapters/chapter08.tex,3609
9.1,全书回顾,核心,False,output/chapters/chapter09.tex,15
9.2,技术发展趋势与展望,混合,False,output/chapters/chapter09.tex,50
9.2.1,政策与建设背景,拓展,,output/chapters/chapter09.tex,56
9.2.2,教材主线之外的延伸方向,拓展,,output/chapters/chapter09.tex,64
9.2.3,如何判断一项新技术是否值得投入,拓展,,output/chapters/chapter09.tex,86
9.3,对读者的建议与后续学习指引,混合,False,output/chapters/chapter09.tex,92
9.3.1,学习与实践策略,核心,,output/chapters/chapter09.tex,98
9.3.2,面向前沿技术的持续学习,拓展,,output/chapters/chapter09.tex,106
9.3.3,行业追踪与信息渠道,拓展,,output/chapters/chapter09.tex,131
9.3.4,跨学科知识补充,拓展,,output/chapters/chapter09.tex,149
