chapter,section,subsection,label,caption,language,lines,refs,has_imports,category,layer,prereq,run_entry,disposition
ch05,Jakarta Persistence与事务管理,索引设计与 PostgreSQL 迁移,lst:ch05-index-migration,PostgreSQL 索引与扩展迁移,SQL,19,1,0,原理实验,G,,,
ch05,Jakarta Persistence与事务管理,事务边界与传播,lst:ch05-repository,事务代理、审计传播与提交后事件,Java,42,2,1,原理实验,C,,,
ch05,Jakarta Persistence与事务管理,七种传播行为与使用场景,lst:ch05-propagation-service,事务传播行为的服务边界示例,Java,32,1,1,原理实验,E,,,
ch05,Jakarta Persistence与事务管理,隔离级别与并发异常,lst:ch05-isolation-test,隔离级别与乐观锁的集成测试思路,Java,34,1,1,原理实验,E,,,
ch05,Jakarta Persistence与事务管理,只读事务与事件发布闭环,lst:ch05-read-only,只读查询与提交后事件的完整调用,Java,29,1,1,原理实验,G,,,
ch05,Jakarta Persistence与事务管理,统计量更新,lst:ch05-tx-service,增量统计的数值稳定实现,Java,13,0,0,原理实验,E,,,
ch05,服务层与异常处理,,lst:ch05-exception-handler,参数校验异常处理,Java,25,0,0,原理实验,C,,,
ch05,服务层与异常处理,读写接口的完整闭环,lst:ch05-crud-controller,监测读数 GET/POST/PUT/DELETE 控制器,Java,42,1,0,原理实验,C,,,
ch05,服务层与异常处理,读写接口的完整闭环,lst:ch05-dto-mapper,DTO 与实体的双向映射,Java,25,1,0,原理实验,C,,,
ch05,服务层与异常处理,读写接口的完整闭环,lst:ch05-command-service,应用服务中的写入、更新与删除规则,Java,36,0,0,原理实验,C,,,
ch05,服务层与异常处理,统一错误响应与参数校验,lst:ch05-problem-advice,RestControllerAdvice 统一错误响应,Java,28,1,0,原理实验,G,,,
ch05,Spring Security 6与JWT,,lst:ch05-security-chain,Spring Security过滤链,Java,34,0,1,原理实验,G,,,
ch05,Spring Security 6与JWT,,lst:ch05-jwt-filter,JWT认证过滤器,Java,52,0,1,连续案例,G,,,
ch05,Spring Security 6与JWT,,lst:ch05-jwt-parse,jjwt 0.11.x 签名验证与访问令牌解析,Java,49,0,1,连续案例,G,,,
ch05,Spring Security 6与JWT,,lst:ch05-jwt-issue,jjwt 0.11.x 签发访问与刷新令牌,Java,35,1,1,连续案例,G,,,
ch05,Spring Security 6与JWT,,lst:ch05-login,登录端点、密码校验与令牌签发,Java,36,0,1,连续案例,G,,,
ch05,Spring Security 6与JWT,,lst:ch05-jwt-refresh,刷新令牌的签名、类型和轮换检查,Java,32,0,1,原理实验,G,,,
ch05,Spring Security 6与JWT,,lst:ch05-revocation,基于 jti 与版本号的令牌撤销,Java,28,1,1,原理实验,G,,,
ch05,Spring Security 6与JWT,,lst:ch05-method-security,方法级权限与跨域策略,Java,30,0,1,原理实验,G,,,
ch05,事务事件与消息队列,,lst:ch05-cache-service,事务提交后的指标事件监听,Java,21,0,1,原理实验,G,,,
ch05,事务事件与消息队列,,lst:ch05-metrics,Kafka 消息监听与告警评估,Java,18,0,0,连续案例,G,,,
ch05,事务事件与消息队列,为什么引入消息队列,lst:ch05-kafka-config,Spring Kafka 生产与消费配置,YAML,21,1,0,工程支撑,C,,,
ch05,事务事件与消息队列,生产者、事件模式与发送确认,lst:ch05-kafka-producer,KafkaTemplate 生产者与发送回调,Java,33,1,1,原理实验,G,,,
ch05,事务事件与消息队列,消费者幂等与去重约束,lst:ch05-kafka-idempotency,事件去重表与消费者事务,Java,45,1,1,原理实验,G,,,
ch05,事务事件与消息队列,重试、退避与死信队列,lst:ch05-kafka-retry,DefaultErrorHandler 与死信发布,Java,27,1,1,原理实验,G,,,
ch05,事务事件与消息队列,事务发件箱与可靠发布,lst:ch05-outbox,事务发件箱写入与发布任务,Java,53,0,1,原理实验,G,,,
ch05,测试策略与质量门禁,,lst:ch05-unit-service-test,服务层单元测试：质量码与幂等决策,Java,47,1,1,原理实验,G,,,
ch05,测试策略与质量门禁,,lst:ch05-mockmvc-test,MockMvc 接口测试：四种基础场景,Java,56,1,1,原理实验,G,,,
ch05,测试策略与质量门禁,,lst:ch05-testcontainers,Testcontainers：隔离 PostgreSQL 集成环境,Java,40,1,1,原理实验,G,,,
ch06,WebGL2与Three.js三维渲染基础,从一个几何体开始：场景、相机、渲染器与循环,lst:ch06-first-scene,first-scene.js：一个代表坝体的长方体与渲染循环,JavaScript,41,1,1,原理实验,C,,,
ch06,WebGL2与Three.js三维渲染基础,WebGL2渲染管线,lst:ch06-webgl2-context,WebGL2 上下文初始化与能力检测,JavaScript,8,0,0,原理实验,E,,,
ch06,WebGL2与Three.js三维渲染基础,WebGL2渲染管线,lst:ch06-glsl-vertex,GLSL 顶点着色器：模型—视图—投影变换,GLSL,10,0,0,原理实验,E,,,
ch06,WebGL2与Three.js三维渲染基础,WebGL2渲染管线,lst:ch06-three-minimal,Three.js r160+最小可运行渲染骨架,JavaScript,33,1,1,原理实验,E,,,
ch06,WebGL2与Three.js三维渲染基础,WebGL2渲染管线,lst:ch06-color-space,Three.js色彩空间与纹理颜色标注,JavaScript,13,0,1,原理实验,E,,,
ch06,WebGL2与Three.js三维渲染基础,WebGL2渲染管线,lst:ch06-webgl-capabilities,WebGL能力探测与兼容性记录,JavaScript,16,1,0,原理实验,E,,,
ch06,WebGL2与Three.js三维渲染基础,WebGL2渲染管线,lst:ch06-addon-import,Three.js addon路径与构建环境对应,JavaScript,7,1,1,原理实验,E,,,
ch06,WebGL2与Three.js三维渲染基础,WebGL2渲染管线,lst:ch06-instancing-lod,实例化测点与距离驱动的LOD选择,JavaScript,17,1,0,连续案例,E,,,
ch06,WebGL2与Three.js三维渲染基础,Three.js场景组织与模型加载,lst:ch06-gltf-load,Three.js 加载 GLTF 工程模型,JavaScript,9,0,1,原理实验,C,,,
ch06,WebGL2与Three.js三维渲染基础,把测点挂到坝体上：对象绑定与查找,lst:ch06-bind-assets,bind-assets.js：把对象列表绑定为场景中的可拾取网格,JavaScript,34,1,1,连续案例,C,,,
ch06,GIS服务、坐标与二三维集成,OGC地图与要素服务,lst:ch06-wms-getmap,WMS 1.3.0 GetMap最小请求,HTTP,5,0,0,工程支撑,G,,,
ch06,GIS服务、坐标与二三维集成,OGC地图与要素服务,lst:ch06-wfs-getfeature,WFS GetFeature最小请求,HTTP,5,0,0,工程支撑,G,,,
ch06,GIS服务、坐标与二三维集成,OGC地图与要素服务,lst:ch06-wcs-getcoverage,WCS GetCoverage最小请求,HTTP,4,0,0,工程支撑,G,,,
ch06,GIS服务、坐标与二三维集成,OGC地图与要素服务,lst:ch06-cesium-wmts,Cesium 无商业底图密钥的 WMTS 初始化,JavaScript,21,0,0,原理实验,G,,,
ch06,GIS服务、坐标与二三维集成,OGC地图与要素服务,lst:ch06-geoserver-gridset,GeoServer GWC EPSG:4490 gridset配置要点,YAML,14,1,0,工程支撑,G,,,
ch06,GIS服务、坐标与二三维集成,CGCS2000与投影坐标,lst:ch06-zone-calc,3度带与6度带带号计算,JavaScript,9,1,0,原理实验,C,,,
ch06,GIS服务、坐标与二三维集成,CGCS2000与投影坐标,lst:ch06-proj4-convert,proj4 定义 CGCS2000 与高斯——克吕格转换,JavaScript,11,0,0,原理实验,C,,,
ch06,GIS服务、坐标与二三维集成,高程基准与空间一致性,lst:ch06-height-convert,椭球高到正常高与正高的转换,JavaScript,11,1,0,原理实验,C,,,
ch06,GIS服务、坐标与二三维集成,高程基准与空间一致性,lst:ch06-coordinate-validate,坐标元数据校验与轴序显式化,JavaScript,13,0,0,原理实验,C,,,
ch06,GIS服务、坐标与二三维集成,高程基准与空间一致性,lst:ch06-local-origin,工程坐标与三维局部原点互转,JavaScript,10,0,0,原理实验,C,,,
ch06,GIS服务、坐标与二三维集成,Cesium场景集成,lst:ch06-3dtiles-load,Cesium 加载 3D Tiles 瓦片集,JavaScript,9,0,0,原理实验,E,,,
ch06,倾斜摄影与BIM模型构建,倾斜摄影数据生产,lst:ch06-accuracy-check,检查点平面与高程精度计算及粗差复核,JavaScript,21,0,0,原理实验,E,,,
ch06,数字孪生水利平台架构概览,实时同步与闭环控制,lst:ch06-python-model,数字孪生模型计算接口,Python,17,0,0,原理实验,E,,,
ch06,数字孪生水利平台架构概览,接口与事件契约,lst:ch06-json-contract,模型事件契约示例,JSON,10,0,0,工程支撑,E,,,
ch07,面向可视化的数据准备,时间窗口、降采样与缺测,lst:ch07-lttb,LTTB分桶与最大三角形选择,JavaScript,23,1,0,原理实验,C,,,
ch07,面向可视化的数据准备,实时流、历史回放与时间对齐,lst:ch07-resample-align,按采样周期对齐水位、渗压与雨量记录,JavaScript,33,1,0,连续案例,G,,,
ch07,面向可视化的数据准备,实时流、历史回放与时间对齐,lst:ch07-event-time-window,按事件时间维护带水印的滑动窗口,JavaScript,15,1,0,原理实验,G,,,
ch07,面向可视化的数据准备,数据质量检验、缺测断线与异常处理,lst:ch07-missing-disconnect,质量码驱动的缺测断线与阴影区间,JavaScript,24,1,0,原理实验,G,,,
ch07,面向可视化的数据准备,数据质量检验、缺测断线与异常处理,lst:ch07-quality-check,展示前的质量检验与优先级合并,JavaScript,17,1,0,原理实验,G,,,
ch07,面向可视化的数据准备,多源异构数据的标准化与融合,lst:ch07-standardize-readings,多源测点记录标准化与单位转换,JavaScript,16,1,0,连续案例,E,,,
ch07,图表与实时联动,图表选型与视觉编码,lst:ch07-rain-level-dualaxis,雨量倒挂柱与水位过程线ECharts配置,JavaScript,23,0,0,连续案例,C,,,
ch07,图表与实时联动,可运行的实时曲线,lst:ch07-chart,基于应用状态的实时水位曲线更新,JavaScript,21,1,0,连续案例,G,,,
ch07,图表与实时联动,可运行的实时曲线,lst:ch07-window-options,历史曲线的降采样、缩放与阈值带,JavaScript,18,1,0,原理实验,G,,,
ch07,图表与实时联动,可运行的实时曲线,lst:ch07-append-data,高频尾部数据的appendData与结构切换,JavaScript,17,0,0,原理实验,G,,,
ch07,图表与实时联动,渲染器、性能预算与生命周期,lst:ch07-responsive-dispose,响应式尺寸与ECharts实例销毁,JavaScript,13,1,0,原理实验,E,,,
ch07,图表与实时联动,图表与三维对象的双向联动,lst:ch07-link-controller,ECharts与Three.js对象的双向联动控制器,JavaScript,24,1,0,原理实验,C,,,
ch07,图表与实时联动,图表与三维对象的双向联动,lst:ch07-connect-charts,多图表缩放联动与组标识,JavaScript,10,0,0,原理实验,C,,,
ch07,图表与实时联动,图表与三维对象的双向联动,lst:ch07-long-press,触控长按的定时器与取消,JavaScript,15,0,0,原理实验,C,,,
ch07,图表与实时联动,专题地图的表达方式,lst:ch07-thematic-layer,专题地图图层与站点符号配置,JavaScript,21,1,0,原理实验,E,,,
ch07,图表与实时联动,专题地图的表达方式,lst:ch07-visual-encoding,按任务选择视觉变量,JavaScript,15,1,0,原理实验,E,,,
ch07,图表与实时联动,色彩体系与可读性,lst:ch07-warning-palette,预警等级与质量状态的双维度色彩配置,JavaScript,18,1,0,连续案例,E,,,
ch07,图表与实时联动,色彩体系与可读性,lst:ch07-aria-accessible,ECharts图表的无障碍与替代文本配置,JavaScript,16,0,0,原理实验,E,,,
ch07,三维场景中的监测点绘制,坐标转换与局部原点,lst:ch07-coordinate-transform,坐标与单位转换,JavaScript,12,0,0,原理实验,G,,,
ch07,三维场景中的监测点绘制,坐标转换与局部原点,lst:ch07-strip-zone-prefix,剥离国内测绘成果的带号前缀,JavaScript,11,0,0,原理实验,G,,,
ch07,三维场景中的监测点绘制,坐标转换与局部原点,lst:ch07-displacement-vector,按北起顺时针方位角生成位移箭头向量,JavaScript,9,0,0,原理实验,G,,,
ch07,三维场景中的监测点绘制,状态编码、LOD与聚合,lst:ch07-world-radius,按相机距离换算聚合与拾取世界半径,JavaScript,11,0,0,原理实验,E,,,
ch07,监测点互动与拾取技术,射线拾取与安全的向量运算,lst:ch07-point-picker,PointPicker：射线拾取器,JavaScript,17,0,0,原理实验,C,,,
ch07,监测点互动与拾取技术,射线拾取与安全的向量运算,lst:ch07-triangle-intersect,"M\""oller--Trumbore 三角形求交",JavaScript,18,0,0,原理实验,C,,,
ch07,监测点互动与拾取技术,触控半径与世界单位,lst:ch07-pixels-to-world,屏幕像素到世界长度的换算,JavaScript,7,0,0,原理实验,E,,,
ch08,总体架构与三维场景设计,场景组织、材质与交互,lst:ch08-glsl,水面波动着色器,GLSL,9,0,0,原理实验,G,,,
ch08,总体架构与三维场景设计,场景组织、材质与交互,lst:ch08-monitoring-sfc,测点筛选、ECharts 曲线与三维定位联动组件,Vue,102,1,1,连续案例,G,,,
ch08,数据模型、前端展示与后端处理,关系模型、空间索引与时序分区,lst:ch08-sql-asset,空间对象表与空间索引 DDL,SQL,22,2,0,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,关系模型、空间索引与时序分区,lst:ch08-sql-reading,时序观测表、分区与连续聚合 DDL,SQL,51,2,0,连续案例,G,,,
ch08,数据模型、前端展示与后端处理,关系模型、空间索引与时序分区,lst:ch08-sql-workflow,预警、工单与模型运行表 DDL,SQL,57,1,0,连续案例,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-migration,可重复执行的迁移版本记录,SQL,13,1,0,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-asset-list,按类型和状态读取测点清单,SQL,10,1,0,连续案例,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-spatial-query,影响区内测点的空间查询,SQL,11,1,0,连续案例,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-recent-reading,按时间窗读取有效观测,SQL,7,1,0,连续案例,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-quality-count,质量码分布统计查询,SQL,9,1,0,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-idempotent-insert,基于事件 ID 的幂等写入,SQL,5,2,0,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-warning-queue,待处理预警队列查询,SQL,9,2,0,连续案例,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-due-work-order,即将到期工单查询,SQL,7,1,0,连续案例,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-model-audit,模型运行审计查询,SQL,7,1,0,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-aggregate-query,读取十五分钟连续聚合结果,SQL,6,1,0,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-refresh-aggregate,补传后的连续聚合刷新,SQL,6,1,0,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-retention,时序数据保留策略示例,SQL,8,1,0,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-compression,按时间块配置时序压缩,SQL,9,1,0,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-warning-ack,带状态条件的预警确认,SQL,5,1,0,连续案例,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-work-order-close,工单完成与回执写入,SQL,7,1,0,连续案例,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-health-check,核心表健康检查,SQL,8,1,0,原理实验,G,,,
